Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,latitude,longitude,User Language,Q_RecaptchaScore,List of Countries,ds_interest,ds_years,treatment,treatment_check,control,control_check,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_6,quiz_7,quiz_8,quiz_9,quiz_10,external_resource,gender,age,education_level,enter_raffel,quiz_score
11/13/21 0:04,11/13/21 0:18,47.185.242.62,100,851,1,11/13/21 0:18,R_2duu1CetIqvGh7n,33.02870178,-96.68260193,EN,0.899999976,187,1,2,,,3,2,3,3,3,2,1,1,2,3,3,2,2,1,2,3,2,4
11/13/21 3:11,11/13/21 3:16,67.170.101.183,100,322,1,11/13/21 3:16,R_2sSwpyFx1QoE8ai,47.61500549,-122.1618958,EN,0.899999976,187,1,2,2,3,,,3,3,3,2,2,3,2,2,3,2,2,1,3,3,2,5
11/13/21 3:11,11/13/21 3:16,67.161.168.216,100,322,1,11/13/21 3:16,R_3LiGbiRATnVWuSj,38.68409729,-121.0675964,EN,0.899999976,187,1,3,,,3,2,3,3,2,3,2,2,2,4,3,2,2,1,3,3,2,2
11/13/21 3:11,11/13/21 3:16,98.36.161.87,100,334,1,11/13/21 3:16,R_2ExXvRwCupcuvba,36.75390625,-119.7084961,EN,0.899999976,187,1,2,2,3,,,3,2,2,3,2,2,3,2,2,1,2,1,3,3,2,4
11/13/21 5:23,11/13/21 5:29,72.219.69.251,100,355,1,11/13/21 5:29,R_D7h4RfvAdUOf225,33.70150757,-117.7528,EN,0.899999976,113,1,2,3,1,,,2,3,2,3,3,2,2,3,3,2,1,2,3,3,2,1
11/13/21 5:13,11/13/21 5:34,74.109.237.19,100,1280,1,11/13/21 5:34,R_3CVEipmJ5jkGQFg,40.47250366,-79.9108963,EN,1,187,1,3,,,2,2,3,3,1,3,3,2,3,2,3,3,2,1,5,3,2,3
11/13/21 5:44,11/13/21 5:53,76.20.190.156,100,512,1,11/13/21 5:53,R_1oI62N3iKIYaaJZ,42.84159851,-84.58170319,EN,0.899999976,187,1,3,2,3,,,4,3,4,4,1,1,3,1,4,4,2,1,5,4,2,3
11/13/21 8:26,11/13/21 8:27,2.53.145.186,100,54,1,11/13/21 8:27,R_3Jx9SrElnXnjqjP,32.06660461,34.76519775,EN,0.899999976,83,2,,,,,,,,,,,,,,,,,,,,,
11/13/21 8:48,11/13/21 8:50,67.8.192.223,100,113,1,11/13/21 8:50,R_1l4qcvWzjrau60I,28.68409729,-81.28119659,EN,0.899999976,187,1,2,,,3,3,3,3,1,3,1,1,2,3,2,2,1,1,3,3,2,2
11/13/21 8:50,11/13/21 8:51,104.178.91.104,100,69,1,11/13/21 8:52,R_1OvO87CztaBmdFu,36.75390625,-119.7084961,EN,0.899999976,187,2,,,,,,,,,,,,,,,,,,,,,
11/13/21 13:10,11/13/21 13:16,35.132.90.153,100,350,1,11/13/21 13:16,R_2YAp1mAqsYfssdy,36.84440613,-121.3670044,EN,1,187,1,1,,,3,2,3,3,2,2,2,1,4,2,1,4,2,1,5,3,1,6
11/13/21 15:07,11/13/21 15:16,63.142.72.140,100,543,1,11/13/21 15:16,R_2WYfrFygMci1WrJ,39.17329407,-89.64040375,EN,0.899999976,187,1,1,2,3,,,4,3,3,2,2,1,3,2,1,1,2,1,5,3,1,9
11/13/21 16:18,11/13/21 16:18,47.184.17.82,100,22,1,11/13/21 16:18,R_2YrEUb7r5ahaDax,33.00360107,-96.88339996,EN,0.899999976,187,3,,,,,,,,,,,,,,,,,,,,,
11/13/21 18:12,11/13/21 18:17,23.120.253.179,100,312,1,11/13/21 18:17,R_21GH0SGsWEy7qPC,37.70449829,-122.0742035,EN,0.800000012,6,1,2,2,1,,,3,3,1,2,2,2,2,2,2,1,1,1,3,2,2,5
11/13/21 19:21,11/13/21 19:22,70.191.20.240,100,69,1,11/13/21 19:22,R_296nVc2QrtXdb0U,36.26249695,-115.1732025,EN,0.899999976,2,1,1,2,1,,,1,2,3,2,2,1,3,1,2,3,1,1,4,3,2,6
11/13/21 19:26,11/13/21 19:49,50.53.188.109,100,1403,1,11/13/21 19:49,R_3IRa6XKSqBQudck,45.54960632,-122.8292999,EN,0.400000006,77,1,1,,,2,2,3,3,3,4,2,2,2,3,2,3,1,2,3,3,2,3
11/13/21 19:31,11/13/21 19:50,73.181.165.190,100,1130,1,11/13/21 19:50,R_2w5nz9Dnrt6sgZ9,46.98429871,-123.7962952,EN,0.899999976,6,2,,,,,,,,,,,,,,,,,,,,,
11/13/21 19:26,11/13/21 19:52,73.206.100.169,100,1527,1,11/13/21 19:52,R_1mF8pVbA5WSpJNu,29.69000244,-95.25640106,EN,0.899999976,187,1,2,2,1,,,3,3,2,3,1,2,3,2,2,2,2,2,3,3,2,3
11/13/21 19:34,11/13/21 19:57,76.102.16.56,100,1377,1,11/13/21 19:57,R_3nlcNrdMTtI3KMM,37.2808075,-121.9571991,EN,1,6,1,2,,,2,1,2,2,2,2,1,1,2,2,2,2,1,2,4,3,2,3
11/13/21 19:52,11/13/21 20:00,45.152.182.147,100,504,1,11/13/21 20:00,R_3EZjDMJOer193jJ,34.05439758,-118.2440948,EN,0.400000006,23,2,,,,,,,,,,,,,,,,,,,,,
11/13/21 19:28,11/13/21 20:01,67.150.17.32,100,1961,1,11/13/21 20:01,R_4GzZlM8g48uHLWx,33.78399658,-118.1853943,EN,0.899999976,61,1,2,,,1,2,2,2,2,1,2,1,1,2,1,1,1,1,3,2,2,5
11/13/21 19:27,11/13/21 20:03,73.53.50.255,100,2144,1,11/13/21 20:03,R_1hNkjHYjGLnCZa3,47.49980164,-122.0085983,EN,0.899999976,32,1,2,,,1,1,3,2,2,2,2,2,3,2,2,2,1,2,4,3,2,4
11/13/21 19:30,11/13/21 20:03,104.54.35.238,100,1990,1,11/13/21 20:03,R_27P5LJ6Ak2NPb98,34.11000061,-118.2606964,EN,0.899999976,4,1,2,2,3,,,3,,2,3,,2,3,2,2,2,1,2,2,3,2,2
11/13/21 19:59,11/13/21 20:05,68.49.89.80,100,406,1,11/13/21 20:05,R_37RpzPWJJNU36OR,42.54449463,-83.27890015,EN,0.899999976,6,1,2,2,1,,,2,3,2,3,3,2,2,2,2,2,1,2,4,2,1,2
11/13/21 19:29,11/13/21 20:13,172.90.40.77,100,2663,1,11/13/21 20:13,R_2DOlvALofuAnxc1,33.81599426,-117.9692001,EN,0.899999976,8,1,2,,,1,1,1,2,2,3,2,2,2,2,2,2,1,2,6,3,2,3
11/13/21 20:03,11/13/21 20:14,73.169.251.16,100,688,1,11/13/21 20:14,R_81beuw3pnDU3xpn,48.01319885,-122.0679016,EN,0.899999976,9,1,2,,,1,2,3,3,4,3,2,3,2,2,4,3,1,1,7,4,2,3
11/13/21 20:05,11/13/21 20:20,73.3.4.24,100,919,1,11/13/21 20:20,R_9YttX2mYWxEGIdb,39.01690674,-94.31369781,EN,0.899999976,10,1,3,2,3,,,3,2,3,3,1,2,2,3,3,2,1,1,6,4,2,1
11/13/21 20:05,11/13/21 20:25,69.42.4.3,100,1180,1,11/13/21 20:25,R_1MQXXhZjThTxecb,37.9447937,-122.0279007,EN,,8,1,1,2,1,,,3,1,4,4,2,2,1,3,2,1,1,2,4,2,2,2
11/13/21 20:22,11/13/21 20:35,64.92.155.243,100,757,1,11/13/21 20:35,R_3hzrNv51dHMNzTu,38.59880066,-107.9953003,EN,,187,1,1,,,1,1,4,3,2,2,2,2,3,3,2,2,2,1,2,3,2,4
11/13/21 20:16,11/13/21 20:37,23.240.37.128,100,1245,1,11/13/21 20:37,R_yJRdywkOHSd2sdr,34.30459595,-118.6844025,EN,0.899999976,5,1,2,2,2,,,3,4,3,4,4,3,4,3,2,3,1,1,3,3,2,1
11/13/21 20:17,11/13/21 20:38,98.222.63.197,100,1278,1,11/13/21 20:38,R_3m460lfX5BQRSXH,41.70170593,-86.29129791,EN,0.899999976,187,1,3,,,3,1,4,3,3,2,1,1,2,2,3,3,2,1,4,4,2,5
11/13/21 20:11,11/13/21 20:39,64.136.139.66,100,1676,1,11/13/21 20:39,R_3oELWajuUle8iMt,33.99240112,-118.3991013,EN,0.899999976,6,1,2,2,1,,,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2
11/13/21 20:38,11/13/21 20:45,45.51.208.71,100,371,1,11/13/21 20:45,R_21iwfa5gMty325K,33.60560608,-117.2662048,EN,0.899999976,3,1,2,2,1,,,3,3,3,3,2,2,3,3,3,2,1,2,3,3,2,4
11/13/21 20:02,11/13/21 20:45,104.173.60.217,100,2574,1,11/13/21 20:45,R_2b2x6bEkNp5wWdJ,33.73379517,-116.9299011,EN,0.899999976,8,1,1,1,1,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3
11/13/21 20:40,11/13/21 20:49,76.95.177.21,100,536,1,11/13/21 20:49,R_23TWp7DCLOGmh2w,33.90750122,-117.7865982,EN,1,7,1,3,,,2,2,4,2,1,3,3,4,4,3,3,4,1,1,6,4,2,
11/13/21 20:30,11/13/21 20:56,73.2.27.93,100,1580,1,11/13/21 20:56,R_1FRMSul5SDKCTFO,38.76089478,-121.2866974,EN,0.899999976,27,1,1,,,1,2,1,2,2,2,2,2,2,2,2,2,1,1,5,2,2,4
11/13/21 20:51,11/13/21 21:00,45.49.18.32,100,530,1,11/13/21 21:00,R_rihmsOfCH2J60q5,34.10600281,-118.3607025,EN,0.899999976,9,1,2,,,2,2,4,2,3,4,2,2,3,2,2,2,1,1,5,3,2,4
11/13/21 20:54,11/13/21 21:04,23.127.181.161,100,571,1,11/13/21 21:04,R_12Q3OGaAyfGFQjU,34.83079529,-82.35070038,EN,1,8,1,2,2,1,,,3,1,1,1,1,1,1,1,1,1,1,2,3,4,2,3
11/13/21 20:51,11/13/21 21:06,24.116.253.48,100,880,1,11/13/21 21:06,R_aWOG6h21iOFc06d,44.04159546,-116.978302,EN,0.899999976,31,1,3,2,3,,,3,3,2,2,2,3,2,3,3,2,1,2,5,3,2,3
11/13/21 21:35,11/13/21 21:54,71.203.142.117,100,1152,1,11/13/21 21:54,R_RP6Q5ganEyC2kzn,30.2183075,-81.56210327,EN,0.899999976,187,1,1,,,3,1,1,3,2,2,2,1,4,2,1,1,1,1,4,3,2,8
11/13/21 22:03,11/13/21 22:07,99.9.155.160,100,227,1,11/13/21 22:07,R_1GQgjDCY6GmAzXQ,34.19790649,-118.5371017,EN,,4,1,2,,,3,1,3,2,3,3,2,2,3,3,3,2,1,2,2,3,2,3
11/13/21 22:03,11/13/21 22:12,76.174.14.46,100,552,1,11/13/21 22:12,R_pH7CF3xaQdQUuxr,33.84979248,-118.0085983,EN,0.800000012,9,1,3,,,2,1,2,4,2,4,3,4,4,3,2,2,1,1,5,4,1,
11/13/21 22:05,11/13/21 22:25,50.125.191.19,100,1205,1,11/13/21 22:25,R_81fJosTvVPZgKgF,47.80299377,-122.3739014,EN,1,45,1,1,,,1,2,2,2,2,1,2,2,2,2,2,2,1,1,3,2,2,2
11/13/21 22:06,11/13/21 22:26,72.128.32.213,100,1221,1,11/13/21 22:26,R_1i9TAUHSHcRnsBH,39.14720154,-94.78739929,EN,0.800000012,10,1,3,1,1,,,1,2,2,2,3,2,2,2,2,2,1,1,5,3,2,3
11/13/21 22:08,11/13/21 22:28,76.91.109.57,100,1249,1,11/13/21 22:28,R_8uLho1IqCE1PnJT,34.11000061,-117.2955017,EN,0.899999976,187,1,3,,,3,1,4,3,3,2,1,1,2,2,3,3,2,1,6,4,2,5
11/13/21 22:29,11/13/21 22:32,68.124.129.197,100,187,1,11/13/21 22:32,R_BQYgliVnpWXHUjv,39.80679321,-121.8670044,EN,0.899999976,8,1,2,,,2,1,1,1,2,2,2,2,2,2,2,2,1,2,6,3,2,4
11/13/21 22:24,11/13/21 22:33,47.185.121.76,100,511,1,11/13/21 22:33,R_2U93mqd0XKTjiWs,32.93209839,-97.28340149,EN,0.899999976,7,1,2,,,2,3,3,2,2,3,4,3,4,1,3,1,1,1,6,4,2,1
11/13/21 22:36,11/13/21 22:45,76.82.254.250,100,526,1,11/13/21 22:45,R_3ijLko4YnxTCu9k,34.14830017,-118.0016022,EN,0.899999976,62,1,2,2,2,,,3,2,3,3,2,2,2,3,3,2,1,1,6,4,1,2
11/13/21 22:28,11/13/21 22:46,23.121.111.83,100,1051,1,11/13/21 22:46,R_2ruorihC0MulhvN,35.23449707,-89.85019684,EN,0.899999976,31,1,3,2,1,,,3,2,2,3,3,1,3,3,3,2,1,2,6,3,2,2
11/13/21 22:28,11/13/21 22:47,24.10.102.27,100,1146,1,11/13/21 22:47,R_30vICkiWGvGrw3O,38.27229309,-121.2975998,EN,0.899999976,9,1,1,2,1,,,2,2,2,1,2,2,2,2,2,2,1,1,3,2,2,2
11/13/21 22:32,11/13/21 22:49,73.162.60.204,100,1059,1,11/13/21 22:49,R_qFbTYZmovVCWRqx,37.72200012,-122.164299,EN,0.400000006,187,1,2,3,1,,,4,3,3,2,1,1,2,2,2,3,2,1,3,4,2,5
11/13/21 22:45,11/13/21 22:49,172.89.26.12,100,240,1,11/13/21 22:49,R_2f3YVbU9XICVCaS,34.28619385,-119.2263947,EN,0.899999976,8,1,3,,,2,1,3,3,2,2,2,2,3,3,2,2,1,2,6,3,2,4
11/13/21 22:33,11/13/21 22:50,68.71.76.121,100,1016,1,11/13/21 22:50,R_25NkyY0zaUOJLfx,32.93209839,-97.28340149,EN,0.899999976,6,1,2,2,2,,,2,2,3,3,2,2,2,2,2,2,1,2,4,2,2,3
11/13/21 22:49,11/13/21 22:58,156.146.97.8,100,556,1,11/13/21 22:58,R_2fwd9ZsW5HhFSLz,33.43060303,-111.9255981,EN,0.899999976,15,1,2,,,2,1,2,2,3,4,2,4,3,3,4,2,1,1,3,3,2,3
11/13/21 23:00,11/13/21 23:08,198.72.255.210,100,511,1,11/13/21 23:08,R_1JIUr7RdNps4kKV,34.02639771,-117.9360046,EN,0.899999976,7,1,2,,,2,3,3,4,3,1,3,2,3,3,2,2,1,1,2,3,2,2
11/13/21 22:50,11/13/21 23:10,98.35.65.54,100,1172,1,11/13/21 23:10,R_bdpM0YEWEeHVfkR,38.00819397,-122.2682037,EN,0.899999976,31,1,2,1,2,,,3,2,2,2,3,3,2,3,3,2,1,2,3,3,2,1
11/13/21 23:09,11/13/21 23:14,71.218.165.85,100,292,1,11/13/21 23:14,R_3ErQiiKgQnpXSG8,39.73010254,-104.9077988,EN,0.899999976,8,1,2,2,1,,,3,3,3,3,2,3,2,3,3,2,1,2,4,3,2,3
11/13/21 23:15,11/13/21 23:18,73.140.42.198,100,127,1,11/13/21 23:18,R_1OIByKKA4Hq6fTB,47.85609436,-121.946701,EN,0.400000006,24,1,1,2,1,,,3,1,1,2,2,2,2,2,2,2,1,2,3,3,2,3
11/13/21 22:53,11/13/21 23:26,24.205.176.117,100,2023,1,11/13/21 23:26,R_24O7eZ1uzYsFfyV,34.02000427,-117.8983994,EN,0.899999976,187,1,2,3,1,,,4,3,3,2,1,1,4,4,3,3,2,2,3,4,2,4
11/13/21 23:31,11/13/21 23:33,174.65.159.59,100,162,1,11/13/21 23:33,R_cTHueS3CguKMfrb,32.78469849,-117.0203018,EN,0.899999976,8,1,3,2,1,,,2,2,1,1,2,2,2,2,1,2,1,1,3,3,2,3
11/13/21 23:21,11/13/21 23:37,68.231.139.183,100,982,1,11/13/21 23:37,R_2sWIyHPm7YSuMwf,33.3874054,-112.0998001,EN,0.699999988,42,1,1,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3
11/13/21 23:14,11/13/21 23:38,73.184.20.57,100,1430,1,11/13/21 23:38,R_1lrWJFUSiqCpeq4,34.11099243,-84.30249786,EN,1,31,1,2,2,1,,,3,3,2,2,3,3,2,3,3,2,1,2,5,3,2,2
11/13/21 23:39,11/13/21 23:43,73.66.130.247,100,292,1,11/13/21 23:43,R_2D00tkQ5ngqxfCF,36.72529602,-119.5500946,EN,0.699999988,36,1,2,2,3,,,4,3,4,3,2,1,1,2,4,2,1,1,2,2,2,4
11/13/21 23:06,11/13/21 23:44,174.18.68.160,100,2307,1,11/13/21 23:44,R_1CfjrVabgPB63l7,32.2460022,-110.9177017,EN,1,187,1,2,,,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,5
11/13/21 23:47,11/13/21 23:51,69.181.192.172,100,234,1,11/13/21 23:51,R_Xk5mWhesQA8UX9n,37.77029419,-122.4407043,EN,0.899999976,8,1,3,,,2,1,3,3,3,2,1,2,3,2,3,2,1,2,6,3,2,5
11/13/21 23:53,11/14/21 0:03,98.162.137.227,100,609,1,11/14/21 0:03,R_wXy7K6HMqDIQ7aF,30.51789856,-87.22530365,EN,0.899999976,8,1,2,2,1,,,2,2,2,3,3,3,2,3,3,1,1,2,5,3,2,1
11/13/21 23:41,11/14/21 0:04,66.75.234.191,100,1380,1,11/14/21 0:04,R_u4ZSnESNsdtRTDr,32.76159668,-117.2057953,EN,0.699999988,9,1,2,1,1,,,2,3,2,2,1,2,2,2,2,2,1,2,4,4,2,3
11/14/21 0:18,11/14/21 0:27,71.229.228.110,100,555,1,11/14/21 0:27,R_2qqHhA9OdkzX2k5,39.44360352,-104.8535995,EN,1,187,1,1,2,2,,,3,3,2,3,2,1,2,3,4,2,1,1,3,4,2,3
11/14/21 0:18,11/14/21 0:27,76.193.64.91,100,552,1,11/14/21 0:27,R_1j9Ruo8Kyd5QeQ0,29.52200317,-98.53050232,EN,1,187,1,2,,,3,1,1,2,3,2,4,2,3,1,2,2,1,1,4,5,2,4
11/14/21 0:08,11/14/21 0:30,69.244.24.81,100,1300,1,11/14/21 0:30,R_2dnHTyFHv0i9XoW,32.33810425,-110.9813995,EN,0.800000012,8,1,1,,,1,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,3
11/14/21 0:22,11/14/21 0:30,69.244.0.35,100,497,1,11/14/21 0:30,R_31d8hY9impDD4yW,32.30389404,-110.8367996,EN,0.899999976,8,1,1,,,1,1,2,2,4,3,3,3,3,2,2,2,1,1,3,3,2,2
11/14/21 0:25,11/14/21 0:35,76.105.39.92,100,546,1,11/14/21 0:35,R_1j6qoOWW8G2sXBj,38.55690002,-121.3627014,EN,0.899999976,4,1,1,1,3,,,4,3,2,4,1,2,4,2,3,1,1,1,2,4,2,3
11/13/21 23:11,11/14/21 0:35,47.154.9.47,100,5083,1,11/14/21 0:35,R_3QWAcqOM6vIjSKV,33.75180054,-117.9931946,EN,0.899999976,6,1,3,2,2,,,3,4,4,4,2,2,4,4,4,4,2,2,6,2,2,1
11/14/21 0:34,11/14/21 0:37,71.132.228.171,100,174,1,11/14/21 0:37,R_2eOtHzZaFDyDLah,30.460495,-89.08560181,EN,0.899999976,31,1,2,2,3,,,3,3,2,3,1,2,2,3,3,2,1,1,3,3,2,1
11/13/21 22:52,11/14/21 0:40,24.6.158.159,100,6453,1,11/14/21 0:40,R_1N8P6LZ2vPETRkN,38.38619995,-121.9909973,EN,0.800000012,3,1,2,2,2,,,2,3,2,1,2,3,2,2,2,2,1,2,4,3,2,3
11/14/21 0:42,11/14/21 0:44,173.51.33.124,100,129,1,11/14/21 0:44,R_1MLiEGi5axJuBTC,34.0717926,-117.6972961,EN,0.899999976,187,1,3,1,1,,,1,2,1,2,1,2,2,2,1,1,1,1,4,4,2,5
11/13/21 23:29,11/14/21 0:46,76.178.94.23,100,4613,1,11/14/21 0:46,R_xu6YSbbFBTPNT0d,47.72819519,-116.9389038,EN,0.899999976,187,1,3,2,1,,,3,3,2,2,1,1,2,3,3,3,2,2,6,4,1,3
11/14/21 0:44,11/14/21 0:49,73.136.125.72,100,289,1,11/14/21 0:49,R_1LpV4feCvVlxCZz,29.69180298,-95.65260315,EN,0.899999976,8,1,3,2,1,,,3,1,1,1,1,1,1,1,1,1,1,1,6,4,2,3
11/14/21 0:42,11/14/21 0:51,68.123.13.72,100,530,1,11/14/21 0:51,R_pg6oyAprLmEpXX3,37.80430603,-122.2155991,EN,0.899999976,9,1,2,2,2,,,4,3,2,4,2,3,3,2,1,3,1,2,4,3,2,5
11/14/21 0:54,11/14/21 0:58,47.37.181.90,100,259,1,11/14/21 0:58,R_ujZIGObKplxAV45,33.86810303,-118.1831055,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,
11/14/21 0:58,11/14/21 0:59,98.145.20.98,100,55,1,11/14/21 0:59,R_3suDxEjX5u87JVq,32.7808075,-115.5626984,EN,0.800000012,4,1,3,2,1,,,2,2,2,3,2,3,2,3,2,2,1,1,6,2,2,1
11/14/21 0:54,11/14/21 1:01,71.237.181.35,100,457,1,11/14/21 1:01,R_3fy5cSM01YSJJpV,45.48049927,-122.6362991,EN,1,31,1,3,2,3,,,3,2,2,3,1,1,2,3,3,2,1,2,6,3,2,1
11/14/21 1:03,11/14/21 1:05,98.210.255.79,100,118,1,11/14/21 1:05,R_3FQWdp9xwDNP2lX,37.92849731,-121.6880951,EN,0.800000012,8,1,2,,,1,1,1,1,2,1,1,1,1,3,2,2,1,1,2,2,2,2
11/14/21 1:00,11/14/21 1:06,73.90.52.111,100,346,1,11/14/21 1:06,R_4NmifQ3t07q0BQ5,37.34719849,-120.6038971,EN,0.899999976,8,1,3,1,2,,,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,3
11/14/21 0:49,11/14/21 1:09,216.198.166.23,100,1173,1,11/14/21 1:09,R_11WIiRwl0QEqO5K,35.47180176,-97.27259827,EN,1,187,1,3,1,3,,,3,3,3,2,1,1,2,3,3,3,2,1,4,4,2,4
11/14/21 0:59,11/14/21 1:15,71.222.35.138,100,975,1,11/14/21 1:15,R_3qlYFZB9cdjDpMp,36.16819763,-115.2165985,EN,0.899999976,10,1,2,2,1,,,3,2,2,4,2,3,3,3,3,2,1,1,4,2,2,2
11/14/21 1:16,11/14/21 1:17,172.119.59.164,100,78,1,11/14/21 1:17,R_2QW231eXgwwEMNn,33.7328949,-118.295105,EN,0.400000006,6,1,2,2,1,,,2,3,2,3,2,2,2,3,2,2,1,1,7,3,2,2
11/14/21 1:09,11/14/21 1:23,174.53.244.146,100,793,1,11/14/21 1:23,R_1mkqJQi7Vf4FsuL,45.07820129,-93.18939972,EN,1,187,1,1,,,3,2,3,3,3,2,2,2,2,3,3,2,2,1,2,3,2,4
11/14/21 1:09,11/14/21 1:23,76.28.249.229,100,801,1,11/14/21 1:23,R_R2FGWL0PmHeoCWd,47.90049744,-122.2472,EN,0.899999976,187,1,1,,,3,2,3,3,2,2,2,4,2,2,3,1,2,1,2,3,2,5
11/14/21 1:09,11/14/21 1:23,24.54.162.174,100,808,1,11/14/21 1:23,R_1QtqlTlCXn3zy89,38.75190735,-104.8103027,EN,0.899999976,187,1,1,2,3,,,3,3,3,3,2,2,3,2,1,2,2,1,2,3,2,6
11/14/21 1:00,11/14/21 1:23,73.241.201.152,100,1354,1,11/14/21 1:23,R_1Nwz9ZhVvXhJChX,38.26699829,-122.0439987,EN,0.899999976,28,1,2,,,1,2,2,3,2,2,2,2,3,2,2,2,1,2,4,2,2,5
